Matthäus 1:1	Stammbaum Jesu Christi, des Sohnes Davids, des Sohnes Abrahams:
Matthäus 1:2	Abraham war der Vater Isaaks; Isaak der Vater Jakobs; Jakob der Vater Judas und seiner Brüder;
Matthäus 1:3	Juda war der Vater des Perez und des Serach, deren Mutter Tamar war; Perez war der Vater Hezrons; Hezron der Vater Arams;
Matthäus 1:4	Aram der Vater Amminadabs; Amminadab der Vater Nachschons; Nachschon der Vater Salmons;
Matthäus 1:5	Salmon der Vater des Boas, dessen Mutter Rahab war; Boas der Vater Obeds, dessen Mutter Rut war; Obed war der Vater Isais;
Matthäus 1:6	Isai war der Vater des Königs David. David war der Vater Salomos, dessen Mutter die Frau Urijas gewesen war;
Matthäus 1:7	Salomo war der Vater Rehabeams; Rehabeam der Vater Abijas; Abija der Vater Asas;
Matthäus 1:8	Asa der Vater Joschafats; Joschafat der Vater Jorams; Joram der Vater Usijas;
Matthäus 1:9	Usija der Vater Jotams; Jotam der Vater des Ahas; Ahas der Vater Hiskijas;
Matthäus 1:10	Hiskija der Vater Manasses; Manasse der Vater des Amos; Amos der Vater Joschijas;
Matthäus 1:11	Joschija der Vater Jojachins und seiner Brüder zur Zeit der Wegführung nach Babylon.
Matthäus 1:12	Während der Babylonischen Gefangenschaft war Jojachin der Vater Schealtiëls; Schealtiël der Vater Serubbabels;
Matthäus 1:13	Serubbabel der Vater Abihuds; Abihud der Vater Eljakims; Eljakim der Vater Azors;
Matthäus 1:14	Azor der Vater Zadoks; Zadok der Vater Achims; Achim der Vater Eliuds;
Matthäus 1:15	Eliud der Vater Eleasars; Eleasar der Vater Mattans; Mattan der Vater Jakobs;
Matthäus 1:16	Jakob der Vater Josefs, des Ehemanns der Maria, von welcher Jesus geboren ward, der da Christus genannt wird.
Matthäus 1:17	Man sieht: Von Abraham bis David sind es im Ganzen vierzehn Generationen, von David bis zur Babylonischen Gefangenschaft ebenfalls vierzehn Generationen und von der Babylonischen Gefangenschaft bis zu Christus nochmals vierzehn Generationen.
Matthäus 1:18	Mit der Geburt Jesu Christi aber verhielt es sich so: Als seine Mutter Maria mit Josef verlobt war, stellte es sich heraus, noch ehe sie zusammengekommen waren, dass sie vom Heiligen Geist guter Hoffnung war.
Matthäus 1:19	Da fasste Josef, ihr Verlobter, der ein rechtschaffener Mann war und sie nicht in üblen Ruf bringen wollte, den Entschluss, sich, ohne Aufsehen zu erregen, von ihr loszusagen.
Matthäus 1:20	Doch als er sich mit solchen Gedanken trug, siehe, da erschien ihm ein Engel des Herrn im Traum und sagte zu ihm: „Josef, Sohn Davids, habe keinerlei Bedenken, Maria, deine Verlobte, als Ehefrau zu dir zu nehmen! Denn das von ihr erwartete Kind stammt vom Heiligen Geist.
Matthäus 1:21	Sie wird Mutter eines Sohnes werden, dem du den Namen Jesus geben sollst; denn er ist es, der sein Volk von dessen Sünden erretten wird.“
Matthäus 1:22	Dies alles ist aber geschehen, damit das Wort erfüllt werde, das der Herr durch den Propheten gesprochen hat, der da sagt:
Matthäus 1:23	„Siehe, die Jungfrau wird guter Hoffnung und Mutter eines Sohnes werden, dem man den Namen Immanuel geben wird“, das heißt übersetzt: „Mit uns ist Gott.“
Matthäus 1:24	Als Josef dann aus dem Schlaf erwacht war, tat er, wie der Engel des Herrn ihm geboten hatte: Er nahm seine Verlobte zur Frau,
Matthäus 1:25	verkehrte aber nicht ehelich mit ihr, bis sie einen Sohn geboren hatte; dem gab er den Namen Jesus.
Matthäus 2:1	Als nun Jesus zu Betlehem in Judäa in den Tagen des Königs Herodes geboren war, da kamen Weise aus dem Osten nach Jerusalem
Matthäus 2:2	und fragten: „Wo ist der neugeborene König der Juden? Wir haben nämlich seinen Stern aufgehen sehen und sind hergekommen, um ihm unsere Huldigung darzubringen.“
Matthäus 2:3	Als König Herodes das vernahm, erschrak er sehr und ganz Jerusalem mit ihm;
Matthäus 2:4	und er ließ alle Hohepriester und Schriftgelehrten des Volks zusammenkommen und erkundigte sich bei ihnen, wo Christus geboren werden sollte.
Matthäus 2:5	Sie antworteten ihm: „Zu Betlehem in Judäa; denn so steht bei dem Propheten geschrieben:
Matthäus 2:6	‚Du, Betlehem im Lande Judas, bist durchaus nicht die unbedeutendste unter den Fürstenstädten Judas; denn aus dir wird ein Führer hervorgehen, der mein Volk Israel weiden wird.‘“
Matthäus 2:7	Daraufhin rief Herodes die Weisen heimlich zu sich und ließ sich von ihnen genau die Zeit angeben, wann der Stern erschienen wäre;
Matthäus 2:8	dann wies er sie nach Betlehem und sagte: „Zieht hin und stellt genaue Nachforschungen nach dem Kindlein an; und wenn ihr es gefunden habt, so teilt es mir mit, damit auch ich hingehe und ihm meine Huldigung darbringe.“
Matthäus 2:9	Als sie das vom König gehört hatten, machten sie sich auf den Weg; und siehe da, der Stern, den sie im Osten gesehen hatten, ging vor ihnen her, bis er schließlich über dem Ort stehen blieb, wo das Kindlein sich befand.
Matthäus 2:10	Als sie den Stern erblickten, waren sie hocherfreut.
Matthäus 2:11	Sie traten in das Haus ein und sahen das Kindlein bei seiner Mutter Maria, warfen sich vor ihm nieder und huldigten ihm; alsdann taten sie ihre Schatzbeutel auf und brachten ihm Geschenke dar: Gold, Weihrauch und Myrrhe.
Matthäus 2:12	Weil sie hierauf im Traum die göttliche Weisung erhielten, nicht wieder zu Herodes zurückzukehren, zogen sie auf einem anderen Weg in ihr Heimatland zurück.
Matthäus 2:13	Als sie nun weggezogen waren, da erschien ein Engel des Herrn dem Josef im Traum und gebot ihm: „Steh auf, nimm das Kindlein und seine Mutter mit dir und fliehe nach Ägypten und bleibe so lange dort, bis ich’s dir sage! Denn Herodes will nach dem Kindlein suchen lassen, um es umzubringen.“
Matthäus 2:14	Da stand Josef auf, nahm in der Nacht das Kindlein und seine Mutter mit sich und floh nach Ägypten;
Matthäus 2:15	dort blieb er bis zum Tod des Herodes. So sollte sich das Wort erfüllen, das der Herr durch den Propheten gesprochen hat, der da sagt: „Aus Ägypten habe ich meinen Sohn gerufen.“
Matthäus 2:16	Als Herodes sich nun von den Weisen hintergangen sah, geriet er in heftigen Zorn; er sandte Diener hin und ließ in Betlehem und dem ganzen Umkreis des Ortes sämtliche Knaben im Alter von zwei und weniger Jahren töten, entsprechend der Zeit, die er sich von den Weisen genau hatte angeben lassen.
Matthäus 2:17	Damals erfüllte sich, was durch den Propheten Jeremia gesagt worden ist, der spricht:
Matthäus 2:18	„Ein Geschrei hat man in Rama vernommen, lautes Weinen und viel Wehklagen: Rahel weint um ihre Kinder und will sich nicht trösten lassen, weil sie nicht mehr da sind.“
Matthäus 2:19	Als Herodes aber gestorben war, da erschien ein Engel des Herrn dem Josef in Ägypten im Traum
Matthäus 2:20	und gebot ihm: „Steh auf, nimm das Kindlein und seine Mutter mit dir und ziehe heim ins Land Israel; denn die sind gestorben, die dem Kindlein nach dem Leben getrachtet haben.“
