Matteo 1:1	Genealogia di Gesù Cristo figlio di Davide, figlio di Abrahamo.
Matteo 1:2	Abrahamo generò Isacco; Isacco generò Giacobbe; Giacobbe generò Giuda e i suoi fratelli;
Matteo 1:3	Giuda generò Fares e Zara da Tamar; Fares generò Esrom; Esrom generò Aram;
Matteo 1:4	Aram generò Aminadab; Aminadab generò Naasson; Naasson generò Salmon;
Matteo 1:5	Salmon generò Booz da Rahab; Booz generò Obed da Ruth; Obed generò Iesse,
Matteo 1:6	e Iesse generò Davide, il re. E Davide generò Salomone da quella che era stata la moglie di Uria;
Matteo 1:7	Salomone generò Roboamo; Roboamo generò Abia; Abia generò Asa;
Matteo 1:8	Asa generò Giosafat; Giosafat generò Ioram; Ioram generò Uzzia;
Matteo 1:9	Uzzia generò Ioatam; Ioatam generò Acaz; Acaz generò Ezechia;
Matteo 1:10	Ezechia generò Manasse; Manasse generò Amon; Amon generò Giosia;
Matteo 1:11	Giosia generò Ieconia e i suoi fratelli al tempo della deportazione in Babilonia.
Matteo 1:12	E dopo la deportazione in Babilonia, Ieconia generò Salatiel; Salatiel generò Zorobabele;
Matteo 1:13	Zorobabele generò Abiud; Abiud generò Eliachim; Eliachim generò Azor;
Matteo 1:14	Azor generò Sadoc; Sadoc generò Achim; Achim generò Eliud;
Matteo 1:15	Eliud generò Eleazaro; Eleazaro generò Mattan; Mattan generò Giacobbe;
Matteo 1:16	Giacobbe generò Giuseppe, il marito di Maria, dalla quale nacque Gesù, che è chiamato Cristo.
Matteo 1:17	Così da Abrahamo fino a Davide sono in tutto quattordici generazioni; e da Davide fino alla deportazione in Babilonia, quattordici generazioni; e dalla deportazione in Babilonia fino a Cristo, quattordici generazioni.
Matteo 1:18	Ora, la nascita di Gesù Cristo avvenne in questo modo. Maria, sua madre, era stata promessa sposa a Giuseppe; e prima che fossero venuti a stare insieme, si trovò incinta per virtù dello Spirito Santo.
Matteo 1:19	E Giuseppe, suo marito, essendo uomo giusto e non volendo esporla a infamia, si propose di lasciarla segretamente.
Matteo 1:20	Ma mentre aveva queste cose nell’animo, ecco che un angelo del Signore gli apparve in sogno, dicendo: “Giuseppe, figlio di Davide, non temere di prendere con te Maria tua moglie, perché ciò che in lei è generato è dallo Spirito Santo.
Matteo 1:21	Ed ella partorirà un figlio, e tu gli porrai nome Gesù, perché è lui che salverà il suo popolo dai suoi peccati”.
Matteo 1:22	Ora, tutto ciò avvenne affinché si adempisse quello che era stato detto dal Signore per mezzo del profeta:
Matteo 1:23	“Ecco, la vergine sarà incinta e partorirà un figlio, al quale sarà posto nome Emmanuele, che, interpretato, vuol dire ‘Dio con noi’”.
Matteo 1:24	E Giuseppe, destatosi dal sonno, fece come l’angelo del Signore gli aveva comandato, e prese con sé sua moglie;
Matteo 1:25	e non la conobbe finché ella non ebbe partorito un figlio; e gli pose nome Gesù.
Matteo 2:1	Ora, essendo Gesù nato a Betlemme di Giudea, ai giorni di re Erode, ecco dei magi d’Oriente arrivarono a Gerusalemme, dicendo:
Matteo 2:2	“Dov’è il re dei Giudei che è nato? Poiché noi abbiamo veduto la sua stella in Oriente e siamo venuti per adorarlo”.
Matteo 2:3	Udito questo, re Erode fu turbato e tutta Gerusalemme con lui.
Matteo 2:4	E radunati tutti i capi sacerdoti e gli scribi del popolo, si informò da loro dove il Cristo doveva nascere.
Matteo 2:5	Ed essi gli dissero: “A Betlemme di Giudea; poiché così è scritto per mezzo del profeta:
Matteo 2:6	‘E tu, Betlemme, terra di Giuda, non sei affatto la minima fra le città principali di Giuda; perché da te uscirà un Principe, che pascerà il mio popolo Israele’”.
Matteo 2:7	Allora Erode, chiamati di nascosto i magi, si informò esattamente da loro del tempo in cui la stella era apparsa;
Matteo 2:8	e mandandoli a Betlemme, disse loro: “Andate e domandate diligentemente del fanciullino; e quando lo avrete trovato, fatemelo sapere, affinché io pure venga ad adorarlo”.
Matteo 2:9	Essi dunque, udito il re, partirono; ed ecco la stella che avevano veduto in Oriente andava dinanzi a loro, finché, giunta al luogo dov’era il fanciullino, vi si fermò sopra.
Matteo 2:10	Ed essi, veduta la stella, si rallegrarono di grandissima allegrezza.
Matteo 2:11	Ed entrati nella casa, videro il fanciullino con Maria sua madre; e prostratisi, lo adorarono; ed aperti i loro tesori, gli offrirono dei doni: oro, incenso e mirra.
Matteo 2:12	Poi, essendo stati divinamente avvertiti in sogno di non ripassare da Erode, tornarono al loro paese per un’altra via.
Matteo 2:13	Partiti che furono, ecco un angelo del Signore apparve in sogno a Giuseppe e gli disse: “Alzati, prendi il fanciullino e sua madre, e fuggi in Egitto, e sta’ lì finché io non te lo dica; perché Erode cercherà il fanciullino per farlo morire”.
Matteo 2:14	Egli dunque, alzatosi, prese di notte il fanciullino e sua madre, e si ritirò in Egitto;
Matteo 2:15	e lì stette fino alla morte di Erode, affinché si adempisse quello che fu detto dal Signore per mezzo del profeta: “Fuori dall’Egitto chiamai mio figlio”.
