Mateus 1:1	Livro da geração de Jesus Cristo, filho de Davi, filho de Abraão.
Mateus 1:2	Abraão gerou Isaque; e Isaque gerou Jacó; e Jacó gerou Judá e seus irmãos;
Mateus 1:3	E Judá gerou, de Tamar, Perez e Zerá; e Perez gerou Esrom; e Esrom gerou Arão;
Mateus 1:4	E Arão gerou Aminadabe; e Aminadabe gerou Naassom; e Naassom gerou Salmom;
Mateus 1:5	E Salmom gerou, de Raabe, Boaz, e Boaz gerou, de Rute, Obede; e Obede gerou Jessé;
Mateus 1:6	E Jessé gerou o rei Davi; e o rei Davi gerou Salomão, da que foi mulher de Urias;
Mateus 1:7	E Salomão gerou Roboão; e Roboão gerou Abias; e Abias gerou Asa;
Mateus 1:8	E Asa gerou Josafá; e Josafá gerou Jorão; e Jorão gerou Uzias;
Mateus 1:9	E Uzias gerou Jotão; e Jotão gerou Acaz; e Acaz gerou Ezequias;
Mateus 1:10	E Ezequias gerou Manassés; e Manassés gerou Amom; e Amom gerou Josias;
Mateus 1:11	E Josias gerou Jeconias e seus irmãos no tempo do exílio para Babilônia.
Mateus 1:12	E depois do exílio para Babilônia, Jeconias gerou Salatiel; e Salatiel gerou Zorobabel;
Mateus 1:13	E Zorobabel gerou Abiúde; e Abiúde gerou Eliaquim; e Eliaquim gerou Azor;
Mateus 1:14	E Azor gerou Sadoque; e Sadoque gerou Aquim; e Aquim gerou Eliúde;
Mateus 1:15	E Eliúde gerou Eleazar; e Eleazar gerou Matã; e Matã gerou Jacó;
Mateus 1:16	E Jacó gerou José, marido de Maria, da qual nasceu Jesus, que se chama o Cristo.
Mateus 1:17	De sorte que todas as gerações, desde Abraão até Davi, são quatorze gerações; e desde Davi até o exílio para Babilônia, quatorze gerações; e desde o exílio para Babilônia até o Cristo, quatorze gerações.
Mateus 1:18	Ora, o nascimento de Jesus Cristo foi assim: Estando Maria, sua mãe, desposada com José, antes de se unirem, achou-se grávida do Espírito Santo.
Mateus 1:19	Então José, seu marido, como era justo, e não a queria infamar, intentou deixá-la secretamente.
Mateus 1:20	E projetando ele isso, eis que um anjo do Senhor lhe apareceu num sonho, dizendo: José, filho de Davi, não temas receber Maria, tua mulher, porque o que nela está gerado é do Espírito Santo;
Mateus 1:21	E dará à luz um filho e tu chamarás o seu nome Jesus; porque ele salvará o seu povo dos seus pecados.
Mateus 1:22	Tudo isso aconteceu para que se cumprisse o que foi dito da parte do Senhor, pelo profeta, que diz:
Mateus 1:23	Eis que a virgem conceberá e dará à luz um filho, e chamá-lo-ão pelo nome de Emanuel, que traduzido é: Deus conosco.
Mateus 1:24	E José, despertando do sonho, fez como o anjo do Senhor lhe ordenara, e recebeu sua mulher;
Mateus 1:25	E não a conheceu até que ela deu à luz o seu filho, o primogênito; e chamou-o pelo nome de Jesus.
Mateus 2:1	E tendo nascido Jesus em Belém da Judeia, no tempo do rei Herodes, eis que uns magos vieram do oriente a Jerusalém,
Mateus 2:2	Dizendo: Onde está aquele que é nascido Rei dos Judeus? porque vimos a sua estrela no oriente, e viemos adorá-lo.
Mateus 2:3	E o rei Herodes, ouvindo isso, perturbou-se, e toda Jerusalém com ele.
Mateus 2:4	E congregados todos os principais dos sacerdotes, e os escribas do povo, perguntou-lhes onde haveria de nascer o Cristo.
Mateus 2:5	E eles lhe disseram: Em Belém da Judeia; porque assim está escrito pelo profeta:
Mateus 2:6	E tu, Belém, terra de Judá, de modo nenhum és a menor entre as capitais de Judá; porque de ti sairá o Guia que há de apascentar o meu povo Israel.
Mateus 2:7	Então Herodes, chamando secretamente os magos, inquiriu exatamente deles acerca do tempo em que a estrela lhes aparecera.
Mateus 2:8	E enviando-os a Belém, disse: Ide, e perguntai diligentemente pelo menino, e quando o achardes, participai-mo, para que também eu vá e o adore.
Mateus 2:9	E tendo eles ouvido o rei, foram-se; e eis que a estrela, que tinham visto no oriente, ia adiante deles, até que, chegando, se deteve sobre o lugar onde estava o menino.
Mateus 2:10	E vendo eles a estrela, alegraram-se muito com grande alegria.
Mateus 2:11	E entrando na casa, acharam o menino com Maria, sua mãe, e prostrando-se, o adoraram; e abrindo os seus tesouros, lhe ofertaram dádivas: ouro, incenso e mirra.
Mateus 2:12	E sendo por divina revelação avisados em sonho para que não voltassem para junto de Herodes, partiram para a sua terra por outro caminho.
Mateus 2:13	E tendo eles se retirado, eis que o anjo do Senhor apareceu a José em sonhos, dizendo: Levanta-te, e toma o menino e sua mãe, e foge para o Egito, e demora-te lá até que eu te diga; porque Herodes há de procurar o menino para o matar.
Mateus 2:14	E levantando-se ele, tomou o menino e sua mãe, de noite, e foi para o Egito,
Mateus 2:15	E esteve lá até a morte de Herodes, para que se cumprisse o que foi dito da parte do Senhor pelo profeta, que diz: Do Egito chamei o meu Filho.
Mateus 2:16	Então Herodes, vendo que tinha sido iludido pelos magos, irritou-se muito, e mandou matar todos os meninos que havia em Belém, e em todos os seus contornos, de idade de dois anos para baixo, segundo o tempo que diligentemente inquirira dos magos.
Mateus 2:17	Então se cumpriu o que foi dito pelo profeta Jeremias, que diz:
Mateus 2:18	Em Ramá se ouviu uma voz, lamentação, choro e grande pranto; Raquel chorando por seus filhos, e não quis ser consolada, porque já não existem.
Mateus 2:19	Morto, porém, Herodes, eis que o anjo do Senhor apareceu num sonho a José no Egito,
Mateus 2:20	Dizendo: Levanta-te, e toma o menino e sua mãe, e vai para a terra de Israel; porque já estão mortos os que procuravam a morte do menino.
Mateus 2:21	Então ele se levantou, e tomou o menino e sua mãe, e foi para a terra de Israel.
Mateus 2:22	E ouvindo que Arquelau reinava na Judeia em lugar de Herodes, seu pai, receou ir para lá; mas avisado em sonho por divina revelação, foi para as partes da Galileia.
Mateus 2:23	E chegou, e habitou numa cidade chamada Nazaré, para que se cumprisse o que fora dito pelos profetas: Ele será chamado Nazareno.
Mateus 3:1	E naqueles dias, apareceu João Batista pregando no deserto da Judeia,
Mateus 3:2	E dizendo: Arrependei-vos, porque é chegado o reino dos céus;
Mateus 3:3	Porque é este o anunciado pelo profeta Isaías, que disse: Voz do que clama no deserto; preparai o caminho do Senhor, endireitai as suas veredas.
Mateus 3:4	E esse João tinha as suas vestes de pelos de camelo, e um cinto de couro em torno de seus lombos; e alimentava-se de gafanhotos e mel silvestre.
Mateus 3:5	Então iam ter com ele Jerusalém, e toda a Judeia, e toda a província adjacente ao Jordão,
Mateus 3:6	E eram por ele batizados no rio Jordão, confessando os seus pecados.
Mateus 3:7	E vendo ele muitos dos fariseus e dos saduceus, que vinham ao seu batismo, dizia-lhes: Raça de víboras, quem vos ensinou a fugir da ira vindoura?
Mateus 3:8	Produzi, pois, frutos dignos de arrependimento;
Mateus 3:9	E não presumais, de vós mesmos, dizendo: Temos por pai a Abraão; porque eu vos digo que mesmo destas pedras Deus pode suscitar filhos a Abraão.
Mateus 3:10	E também agora está posto o machado à raiz das árvores; toda árvore, pois, que não produz bom fruto, é cortada e lançada no fogo.
Mateus 3:11	E eu, em verdade, vos batizo com água, para o arrependimento; mas aquele que vem após mim é mais poderoso do que eu, cujas sandálias não sou digno de levar; ele vos batizará com o Espírito Santo, e com fogo.
Mateus 3:12	Em sua mão tem a pá, e limpará completamente a sua eira, e recolherá no celeiro o seu trigo, e queimará a palha com fogo que nunca se apagará.
Mateus 3:13	Então veio Jesus da Galileia a João, junto do Jordão, para ser batizado por ele.
Mateus 3:14	João opunha-se-lhe, porém, dizendo: Eu careço de ser batizado por ti, e vens tu a mim?
Mateus 3:15	Jesus, porém, respondendo, disse-lhe: Deixa por agora, porque assim nos convém cumprir toda a justiça. Então ele o permitiu.
Mateus 3:16	E sendo Jesus batizado, saiu logo da água, e eis que se lhe abriram os céus, e viu o Espírito de Deus descendo como pomba e vindo sobre ele.
Mateus 3:17	E eis que uma voz dos céus dizia: Este é o meu Filho amado, em quem me comprazo.
Mateus 4:1	Então foi conduzido Jesus pelo Espírito ao deserto, para ser tentado pelo diabo.
Mateus 4:2	E tendo jejuado quarenta dias e quarenta noites, depois teve fome;
Mateus 4:3	E chegando-se a ele o tentador, disse: Se tu és o Filho de Deus, manda que estas pedras se façam pães.
Mateus 4:4	Ele, porém, respondendo, disse: Está escrito: Nem só de pão viverá o homem, mas de toda palavra que sai da boca de Deus.
Mateus 4:5	Então o diabo o levou à cidade santa, e colocou-o sobre o pináculo do templo,
Mateus 4:6	E disse-lhe: Se tu és o Filho de Deus, lança-te daqui abaixo; porque está escrito: Ele aos seus anjos ordenará a respeito de ti; e tomar-te-ão nas mãos, para que nunca tropeces em alguma pedra.
Mateus 4:7	Disse-lhe Jesus: Também está escrito: Não tentarás o Senhor teu Deus.
