Mateo 1:1	Libro de la genealogía de Jesucristo, hijo de David, hijo de Abraham:
Mateo 1:2	Abraham engendró a Isaac, e Isaac engendró a Jacob, y Jacob engendró a Judá y a sus hermanos.
Mateo 1:3	Y Judá engendró, de Tamar, a Fares y a Zara, y Fares engendró a Esrom, y Esrom engendró a Aram.
Mateo 1:4	Y Aram engendró a Aminadab, y Aminadab engendró a Naasón, y Naasón engendró a Salmón.
Mateo 1:5	Y Salmón engendró, de Rahab, a Booz, y Booz engendró, de Rut, a Obed, y Obed engendró a Isaí.
Mateo 1:6	E Isaí engendró al rey David, y el rey David engendró, de la que fue esposa de Urías, a Salomón.
Mateo 1:7	Y Salomón engendró a Roboam, y Roboam engendró a Abías, y Abías engendró a Asa.
Mateo 1:8	Y Asa engendró a Josafat, y Josafat engendró a Joram, y Joram engendró a Uzías.
Mateo 1:9	Y Uzías engendró a Jotam, y Jotam engendró a Acaz, y Acaz engendró a Ezequías.
Mateo 1:10	Y Ezequías engendró a Manasés, y Manasés engendró a Amón, y Amón engendró a Josías.
Mateo 1:11	Y Josías engendró a Jeconías y a sus hermanos, en el tiempo de la deportación a Babilonia.
Mateo 1:12	Y después de la deportación a Babilonia, Jeconías engendró a Salatiel, y Salatiel engendró a Zorobabel.
Mateo 1:13	Y Zorobabel engendró a Abiud, y Abiud engendró a Eliaquim, y Eliaquim engendró a Azor.
Mateo 1:14	Y Azor engendró a Sadoc, y Sadoc engendró a Aquim, y Aquim engendró a Eliud.
Mateo 1:15	Y Eliud engendró a Eleazar, y Eleazar engendró a Matán, y Matán engendró a Jacob.
Mateo 1:16	Y Jacob engendró a José, marido de María, de quien nació Jesús, el que es llamado el Cristo.
Mateo 1:17	De manera que todas las generaciones desde Abraham hasta David son catorce generaciones; y desde David hasta la deportación a Babilonia, catorce generaciones; y desde la deportación a Babilonia hasta Cristo, catorce generaciones.
Mateo 1:18	Y el nacimiento de Jesucristo fue así: Estando María, su madre, desposada con José, antes que se unieran, se halló que había concebido del Espíritu Santo.
Mateo 1:19	Y José, su desposado, como era justo y no quería infamarla, quiso dejarla secretamente.
Mateo 1:20	Y pensando él en esto, he aquí un ángel del Señor se le apareció en sueños y le dijo: José, hijo de David, no temas recibir a María, tu desposada, porque lo que en ella es engendrado, del Espíritu Santo es.
Mateo 1:21	Y dará a luz un hijo, y llamarás su nombre Jesús, porque él salvará a su pueblo de sus pecados.
Mateo 1:22	Todo esto aconteció para que se cumpliese lo que había hablado el Señor, por medio del profeta, diciendo:
Mateo 1:23	He aquí, una virgen concebirá y dará a luz un hijo,y llamarán su nombre Emanuel,que interpretado es: Dios con nosotros.
Mateo 1:24	Y cuando despertó José del sueño, hizo como el ángel del Señor le había mandado, y la recibió como esposa.
Mateo 1:25	Pero no la conoció hasta que ella dio a luz a su hijo primogénito, y llamó su nombre Jesús.
Mateo 2:1	Y cuando Jesús nació en Belén de Judea en los días del rey Herodes, he aquí, unos magos vinieron del oriente a Jerusalén,
Mateo 2:2	diciendo: ¿Dónde está el Rey de los judíos que ha nacido? Porque su estrella hemos visto en el oriente y venimos a adorarle.
Mateo 2:3	Y al oír esto, el rey Herodes se turbó, y toda Jerusalén con él.
Mateo 2:4	Y, habiendo convocado a todos los principales sacerdotes y a los escribas del pueblo, les preguntó dónde había de nacer el Cristo.
Mateo 2:5	Y ellos le dijeron: En Belén de Judea, porque así está escrito por el profeta:
Mateo 2:6	Y tú, Belén, de tierra de Judá,no eres la más pequeña entre los príncipes de Judá;porque de ti saldrá un guiador,que apacentará a mi pueblo Israel.
Mateo 2:7	Entonces Herodes, llamando en secreto a los magos, indagó de ellos diligentemente el tiempo en que había aparecido la estrella;
Mateo 2:8	y enviándolos a Belén, dijo: Id allá, y preguntad con diligencia acerca del niño y, cuando le halléis, hacédmelo saber, para que yo también vaya y le adore.
Mateo 2:9	Y ellos, habiendo oído al rey, se fueron; y he aquí la estrella que habían visto en el oriente iba delante de ellos, hasta que, llegando, se detuvo sobre donde estaba el niño.
Mateo 2:10	Y cuando vieron la estrella, se regocijaron con gran gozo.
Mateo 2:11	Y cuando entraron en la casa, vieron al niño con su madre María, y postrándose, le adoraron; y abriendo sus tesoros, le ofrecieron presentes: oro, e incienso y mirra.
Mateo 2:12	Pero avisados por revelación, en sueños, que no volviesen a Herodes, regresaron a su tierra por otro camino.
Mateo 2:13	Y cuando hubieron partido, he aquí un ángel del Señor se le apareció en sueños a José, diciendo: Levántate, y toma al niño y a su madre, y huye a Egipto, y quédate allá hasta que yo te lo diga, porque acontecerá que Herodes buscará al niño para matarlo.
Mateo 2:14	Y él, despertando, tomó de noche al niño y a su madre, y se fue a Egipto;
Mateo 2:15	y estuvo allá hasta la muerte de Herodes, para que se cumpliese lo que el Señor declaró por medio del profeta, cuando dijo: De Egipto llamé a mi Hijo.
Mateo 2:16	Herodes entonces, cuando se vio burlado por los magos, se enojó mucho, y mandó matar a todos los niños menores de dos años que había en Belén y en todos sus alrededores, conforme al tiempo que había averiguado de los magos.
Mateo 2:17	Entonces se cumplió lo dicho por medio del profeta Jeremías, cuando dijo:
Mateo 2:18	Voz fue oída en Ramá,grande lamentación, lloro y gemido;Raquel que llora por sus hijos,y no quiso ser consolada, porque perecieron.
Mateo 2:19	Pero cuando hubo muerto Herodes, he aquí, un ángel del Señor se le apareció en sueños a José en Egipto,
Mateo 2:20	diciendo: Levántate, y toma al niño y a su madre, y vete a la tierra de Israel, que ya han muerto los que procuraban la muerte del niño.
Mateo 2:21	Entonces él se levantó, y tomó al niño y a su madre, y se fue a la tierra de Israel.
Mateo 2:22	Pero cuando oyó que Arquelao reinaba en Judea en lugar de Herodes, su padre, temió ir allá; y advertido por revelación, en sueños, se fue a la región de Galilea.
Mateo 2:23	Y vino y habitó en la ciudad que se llama Nazaret, para que se cumpliese lo que fue dicho por medio de los profetas, que había de ser llamado nazareno.
Mateo 3:1	Y en aquellos días vino Juan el Bautista predicando en el desierto de Judea,
Mateo 3:2	y diciendo: Arrepentíos, porque el reino de los cielos se ha acercado.
Mateo 3:3	Porque este es aquel de quien habló el profeta Isaías, cuando dijo:Voz del que clama en el desierto:Preparad el camino del Señor,enderezad sus sendas.
Mateo 3:4	Y Juan estaba vestido de pelo de camello y tenía un cinto de cuero alrededor de sus lomos; y su comida era langostas y miel silvestre.
Mateo 3:5	Entonces acudían a él Jerusalén, y toda Judea y toda la provincia de alrededor del Jordán;
Mateo 3:6	y eran bautizados por él en el Jordán, confesando sus pecados.
Mateo 3:7	Y cuando vio él que muchos de los fariseos y de los saduceos venían a su bautismo, les decía: ¡Oh generación de víboras! ¿Quién os ha enseñado a huir de la ira venidera?
Mateo 3:8	Haced, pues, frutos dignos de arrepentimiento,
Mateo 3:9	y no penséis decir dentro de vosotros mismos: A Abraham tenemos por padre; porque yo os digo que Dios puede levantar hijos a Abraham aun de estas piedras.
Mateo 3:10	Ahora, el hacha ya está puesta a la raíz de los árboles; por tanto, todo árbol que no da buen fruto es cortado y echado al fuego.
Mateo 3:11	Yo a la verdad os bautizo en agua para arrepentimiento, pero el que viene tras mí, cuyo calzado yo no soy digno de llevar, es más poderoso que yo; él os bautizará con el Espíritu Santo y con fuego.
Mateo 3:12	Su aventador está en su mano, y limpiará su era; y recogerá su trigo en el alfolí y quemará la paja con fuego que nunca se apagará.
Mateo 3:13	Entonces Jesús vino de Galilea al Jordán, a Juan, para ser bautizado por él.
Mateo 3:14	Pero Juan se lo impedía, diciendo: Yo necesito ser bautizado por ti, ¿y tú vienes a mí?
Mateo 3:15	Pero respondiendo Jesús, le dijo: Permítelo ahora, porque así nos conviene cumplir toda justicia. Entonces se lo permitió.
Mateo 3:16	Y Jesús, después que fue bautizado, subió inmediatamente del agua; y he aquí, los cielos le fueron abiertos, y vio al Espíritu de Dios que descendía como paloma y se posaba sobre él.
Mateo 3:17	Y he aquí, una voz de los cielos que decía: Este es mi Hijo amado, en quien me complazco.
Mateo 4:1	Entonces Jesús fue llevado por el Espíritu al desierto para ser tentado por el diablo.
Mateo 4:2	Y después de haber ayunado cuarenta días y cuarenta noches, tuvo hambre.
Mateo 4:3	Y se le acercó el tentador y le dijo: Si eres el Hijo de Dios, di que estas piedras se conviertan en pan.
Mateo 4:4	Mas él, respondiendo, dijo: Escrito está: No solo de pan vivirá el hombre, sino de toda palabra que sale de la boca de Dios.
Mateo 4:5	Entonces el diablo le llevó a la santa ciudad, y le puso sobre el pináculo del templo
Mateo 4:6	y le dijo: Si eres el Hijo de Dios, échate abajo, porque escrito está:A sus ángeles mandará por ti,y te llevarán en sus manos,para que no tropieces con tu pie en piedra.
Mateo 4:7	Jesús le dijo: Escrito está también: No tentarás al Señor tu Dios.
Mateo 4:8	Otra vez le llevó el diablo a un monte muy alto, y le mostró todos los reinos del mundo y la gloria de ellos,
Mateo 4:9	y le dijo: Todo esto te daré, si postrado me adoras.
Mateo 4:10	Entonces Jesús le dijo: Vete, Satanás, porque escrito está: Al Señor tu Dios adorarás y a él solamente servirás.
Mateo 4:11	El diablo entonces le dejó, y he aquí, los ángeles vinieron y le servían.
Mateo 4:12	Cuando Jesús oyó que Juan estaba preso, volvió a Galilea;
Mateo 4:13	y dejando Nazaret, vino y habitó en Capernaúm, ciudad marítima, en los confines de Zabulón y de Neftalí,
Mateo 4:14	para que se cumpliese lo que fue dicho por medio del profeta Isaías, cuando dijo:
Mateo 4:15	Tierra de Zabulón y tierra de Neftalí,camino del mar, al otro lado del Jordán,Galilea de los gentiles;
Mateo 4:16	el pueblo asentado en tinieblasvio gran luz;y a los asentados en región y sombra de muerte,luz les resplandeció.
Mateo 4:17	Desde entonces comenzó Jesús a predicar y a decir: ¡Arrepentíos, porque el reino de los cielos se ha acercado!
Mateo 4:18	Y andando Jesús junto al mar de Galilea, vio a dos hermanos, a Simón, que es llamado Pedro, y a Andrés, su hermano, que echaban la red en el mar, porque eran pescadores.
Mateo 4:19	Y les dijo: Venid en pos de mí, y os haré pescadores de hombres.
Mateo 4:20	Ellos entonces, dejando al instante las redes, le siguieron.
Mateo 4:21	Y pasando de allí, vio a otros dos hermanos, a Jacobo hijo de Zebedeo, y a Juan, su hermano, en la barca con Zebedeo, su padre, que remendaban sus redes; y los llamó.
Mateo 4:22	Y ellos, dejando al instante la barca y a su padre, le siguieron.
Mateo 4:23	Y Jesús recorría toda Galilea, enseñando en las sinagogas de ellos, y predicando el evangelio del reino, y sanando toda enfermedad y toda dolencia en el pueblo.
Mateo 4:24	Y su fama se extendió por toda Siria, y le trajeron a todos los que tenían dolencias: los afligidos por diversas enfermedades y tormentos, y los endemoniados, y los lunáticos y los paralíticos, y los sanó.
Mateo 4:25	Y le siguieron grandes multitudes de Galilea, y de Decápolis, y de Jerusalén, y de Judea y del otro lado del Jordán.
Mateo 5:1	Y al ver las multitudes, subió al monte y se sentó. Y vinieron a él sus discípulos.
Mateo 5:2	Y abriendo su boca, les enseñaba, diciendo:
Mateo 5:3	Bienaventurados los pobres en espíritu, porque de ellos es el reino de los cielos.
Mateo 5:4	Bienaventurados los que lloran, porque ellos recibirán consolación.
Mateo 5:5	Bienaventurados los mansos, porque ellos recibirán la tierra como heredad.
Mateo 5:6	Bienaventurados los que tienen hambre y sed de justicia, porque ellos serán saciados.
Mateo 5:7	Bienaventurados los misericordiosos, porque ellos alcanzarán misericordia.
Mateo 5:8	Bienaventurados los de limpio corazón, porque ellos verán a Dios.
Mateo 5:9	Bienaventurados los pacificadores, porque ellos serán llamados hijos de Dios.
Mateo 5:10	Bienaventurados los que padecen persecución por causa de la justicia, porque de ellos es el reino de los cielos.
Mateo 5:11	Bienaventurados sois cuando por mi causa os vituperen y os persigan, y digan toda clase de mal contra vosotros, mintiendo.
Mateo 5:12	Gozaos y alegraos, porque vuestro galardón es grande en los cielos; pues así persiguieron a los profetas que fueron antes de vosotros.
Mateo 5:13	Vosotros sois la sal de la tierra; pero si la sal perdiere su sabor, ¿con qué será salada? No sirve más para nada, sino para ser echada fuera y hollada por los hombres.
Mateo 5:14	Vosotros sois la luz del mundo; una ciudad asentada sobre un monte no se puede esconder.
Mateo 5:15	Ni se enciende una vela y se pone debajo de un almud, sino sobre el candelero, y alumbra a todos los que están en casa.
Mateo 5:16	Así alumbre vuestra luz delante de los hombres, para que vean vuestras buenas obras y glorifiquen a vuestro Padre que está en los cielos.
Mateo 5:17	No penséis que he venido para abrogar la ley o los profetas; no he venido para abrogar, sino para cumplir.
Mateo 5:18	Porque de cierto os digo que hasta que pasen el cielo y la tierra, ni una jota ni una tilde pasará de la ley, hasta que todo se haya cumplido.
Mateo 5:19	De manera que cualquiera que quebrante uno de estos mandamientos muy pequeños, y así enseñe a los hombres, muy pequeño será llamado en el reino de los cielos. Pero cualquiera que los cumpla y los enseñe, este será llamado grande en el reino de los cielos.
Mateo 5:20	Porque os digo que si vuestra justicia no excede a la de los escribas y a la de los fariseos, no entraréis en el reino de los cielos.
Mateo 5:21	Oísteis que fue dicho a los antiguos: No matarás; y cualquiera que matare será culpable de juicio.
Mateo 5:22	Pero yo os digo que cualquiera que se enoje con su hermano será culpable de juicio; y cualquiera que diga a su hermano: Raca, será culpable ante el concilio; y cualquiera que diga: Insensato, quedará expuesto al fuego del infierno.
Mateo 5:23	Por tanto, si traes tu ofrenda al altar y allí te acuerdas de que tu hermano tiene algo contra ti,
Mateo 5:24	deja allí tu ofrenda delante del altar y ve, reconcíliate primero con tu hermano, y entonces ven y presenta tu ofrenda.
Mateo 5:25	Reconcíliate pronto con tu adversario, entretanto que estás con él en el camino, no sea que el adversario te entregue al juez, y el juez te entregue al alguacil, y seas echado en la cárcel.
Mateo 5:26	De cierto te digo que no saldrás de allí hasta que hayas pagado el último cuadrante.
Mateo 5:27	Oísteis que fue dicho: No cometerás adulterio.
Mateo 5:28	Pero yo os digo que cualquiera que mira a una mujer para codiciarla, ya ha cometido adulterio con ella en su corazón.
Mateo 5:29	Por tanto, si tu ojo derecho te es ocasión de caer, sácalo y échalo de ti; porque mejor te es que se pierda uno de tus miembros, y no que todo tu cuerpo sea echado al infierno.
Mateo 5:30	Y si tu mano derecha te es ocasión de caer, córtala y échala de ti; porque mejor te es que se pierda uno de tus miembros, y no que todo tu cuerpo sea echado al infierno.
Mateo 5:31	También fue dicho: Cualquiera que repudie a su esposa, déle carta de divorcio.
Mateo 5:32	Pero yo os digo que el que repudia a su esposa, a no ser por causa de adulterio, hace que ella cometa adulterio; y el que se casa con la repudiada comete adulterio.
Mateo 5:33	Además habéis oído que fue dicho a los antiguos: No jurarás falsamente, sino que cumplirás al Señor tus juramentos.
Mateo 5:34	Pero yo os digo: No juréis de ninguna manera; ni por el cielo, porque es el trono de Dios;
Mateo 5:35	ni por la tierra, porque es el estrado de sus pies; ni por Jerusalén, porque es la ciudad del gran Rey.
Mateo 5:36	Ni por tu cabeza jurarás, porque no puedes hacer blanco o negro ni un solo cabello.
Mateo 5:37	Mas sea vuestro hablar: Sí, sí, o No, no, porque lo que es más de esto, del mal procede.
Mateo 5:38	Oísteis que fue dicho: Ojo por ojo, y diente por diente.
Mateo 5:39	Pero yo os digo: No resistáis al malo; antes bien, a cualquiera que te golpee en la mejilla derecha, vuélvele también la otra;
Mateo 5:40	y al que quiera ponerte a pleito y quitarte la túnica, déjale también la capa;
Mateo 5:41	y a cualquiera que te obligue a llevar carga por una milla, ve con él dos.
Mateo 5:42	Al que te pida, dale; y al que quiera tomar de ti prestado, no se lo rehúses.
Mateo 5:43	Oísteis que fue dicho: Amarás a tu prójimo y aborrecerás a tu enemigo.
Mateo 5:44	Pero yo os digo: Amad a vuestros enemigos, bendecid a los que os maldicen, haced bien a los que os aborrecen, y orad por los que os ultrajan y os persiguen;
Mateo 5:45	para que seáis hijos de vuestro Padre que está en los cielos, que hace salir su sol sobre malos y buenos, y hace llover sobre justos e injustos.
Mateo 5:46	Porque si amáis a los que os aman, ¿qué recompensa tendréis? ¿No hacen también lo mismo los publicanos?
Mateo 5:47	Y si saludáis a vuestros hermanos solamente, ¿qué hacéis de más? ¿No hacen también así los gentiles?
Mateo 5:48	Sed, pues, vosotros perfectos, así como vuestro Padre que está en los cielos es perfecto.
Mateo 6:1	Mirad que no deis vuestra limosna delante de los hombres para ser vistos por ellos; de otra manera, no tendréis recompensa de vuestro Padre que está en los cielos.
Mateo 6:2	Cuando, pues, des limosna, no hagas tocar trompeta delante de ti, como hacen los hipócritas en las sinagogas y en las calles, para ser alabados por los hombres; de cierto os digo que ya tienen su recompensa.
Mateo 6:3	Mas cuando tú des limosna, no sepa tu izquierda lo que hace tu derecha,
Mateo 6:4	para que sea tu limosna en secreto; y tu Padre, que ve en lo secreto, te recompensará en público.
Mateo 6:5	Y cuando ores, no seas como los hipócritas, porque a ellos les gusta el orar de pie en las sinagogas y en las esquinas de las calles para ser vistos por los hombres; de cierto os digo que ya tienen su recompensa.
Mateo 6:6	Mas tú, cuando ores, entra en tu aposento, y cerrada tu puerta, ora a tu Padre que está en secreto; y tu Padre, que ve en lo secreto, te recompensará en público.
Mateo 6:7	Y al orar, no uséis vanas repeticiones, como los gentiles, que piensan que por su palabrería serán oídos.
Mateo 6:8	No os hagáis, pues, semejantes a ellos, porque vuestro Padre sabe de qué cosas tenéis necesidad antes que vosotros le pidáis.
Mateo 6:9	Vosotros, pues, oraréis así: Padre nuestro que estás en los cielos, santificado sea tu nombre.
Mateo 6:10	Venga tu reino. Hágase tu voluntad, como en el cielo, así también en la tierra.
Mateo 6:11	Danos hoy el pan nuestro de cada día.
Mateo 6:12	Y perdónanos nuestras deudas, como también nosotros perdonamos a nuestros deudores.
Mateo 6:13	Y no nos metas en tentación, mas líbranos del mal; porque tuyo es el reino, y el poder y la gloria, por todos los siglos. Amén.
Mateo 6:14	Porque si perdonáis a los hombres sus ofensas, os perdonará también a vosotros vuestro Padre Celestial.
Mateo 6:15	Pero si no perdonáis a los hombres sus ofensas, tampoco vuestro Padre os perdonará vuestras ofensas.
Mateo 6:16	Y cuando ayunéis, no pongáis un semblante como los hipócritas, porque ellos demudan sus rostros para mostrar a los hombres que ayunan; de cierto os digo que ya tienen su recompensa.
Mateo 6:17	Mas tú, cuando ayunes, unge tu cabeza y lava tu rostro,
Mateo 6:18	para no mostrar a los hombres que ayunas, sino a tu Padre que está en secreto; y tu Padre, que ve en lo secreto, te recompensará en público.
Mateo 6:19	No os hagáis tesoros en la tierra, donde la polilla y el orín corrompen, y donde ladrones minan y hurtan;
Mateo 6:20	sino haceos tesoros en el cielo, donde ni la polilla ni el orín corrompen, y donde ladrones no minan ni hurtan.
Mateo 6:21	Porque donde esté vuestro tesoro, allí estará también vuestro corazón.
Mateo 6:22	La lámpara del cuerpo es el ojo; así que, si tu ojo es sincero, todo tu cuerpo estará lleno de luz;
Mateo 6:23	mas si tu ojo es malo, todo tu cuerpo será tenebroso. Así que, si la luz que hay en ti es tinieblas, ¿cuán grandes no serán esas tinieblas?
Mateo 6:24	Ninguno puede servir a dos señores, porque o aborrecerá al uno y amará al otro, o se apegará al uno y menospreciará al otro; no podéis servir a Dios y a las riquezas.
Mateo 6:25	Por tanto os digo: No os afanéis por vuestra vida, qué habéis de comer o qué habéis de beber; ni por vuestro cuerpo, qué habéis de vestir. ¿No es la vida más que el alimento y el cuerpo más que el vestido?
Mateo 6:26	Mirad las aves del cielo, que no siembran, ni siegan ni juntan en alfolíes; y vuestro Padre Celestial las alimenta. ¿No sois vosotros mucho mejores que ellas?
Mateo 6:27	Mas, ¿quién de vosotros podrá, afanándose, añadir a su estatura un codo?
Mateo 6:28	Y por el vestido, ¿por qué os afanáis? Considerad los lirios del campo, cómo crecen; no trabajan ni hilan;
Mateo 6:29	mas os digo que ni aun Salomón con toda su gloria se vistió como uno de ellos.
Mateo 6:30	Y si la hierba del campo, que hoy es y mañana es echada al horno, Dios la viste así, ¿no hará mucho más a vosotros, hombres de poca fe?
Mateo 6:31	No os afanéis, pues, diciendo: ¿Qué comeremos, o qué beberemos o con qué nos cubriremos?
Mateo 6:32	Porque los gentiles buscan todas estas cosas, pero vuestro Padre Celestial sabe que tenéis necesidad de todas estas cosas.
Mateo 6:33	Mas buscad primeramente el reino de Dios y su justicia, y todas estas cosas os serán añadidas.
Mateo 6:34	Así que, no os afanéis por el día de mañana, porque el día de mañana traerá su propio afán. Basta al día su propio mal.
Mateo 7:1	No juzguéis, para que no seáis juzgados.
Mateo 7:2	Porque con el juicio con que juzgáis seréis juzgados, y con la medida con que medís, se os volverá a medir.
Mateo 7:3	Y, ¿por qué miras la paja que está en el ojo de tu hermano, y no echas de ver la viga que está en tu propio ojo?
Mateo 7:4	O, ¿cómo dirás a tu hermano: Déjame sacar la paja de tu ojo, y he aquí la viga en tu propio ojo?
Mateo 7:5	¡Hipócrita! Saca primero la viga de tu propio ojo, y entonces verás bien para sacar la paja del ojo de tu hermano.
Mateo 7:6	No deis lo santo a los perros ni echéis vuestras perlas delante de los cerdos, no sea que las pisoteen y se vuelvan y os despedacen.
Mateo 7:7	Pedid, y se os dará; buscad, y hallaréis; llamad, y se os abrirá.
Mateo 7:8	Porque todo el que pide, recibe; y el que busca, halla; y al que llama, se le abrirá.
Mateo 7:9	¿Qué hombre hay de vosotros, que si su hijo le pide pan, le dará una piedra?
Mateo 7:10	¿Y si le pide un pez, le dará una serpiente?
Mateo 7:11	Pues si vosotros, siendo malos, sabéis dar buenas dádivas a vuestros hijos, ¿cuánto más vuestro Padre que está en los cielos dará buenas cosas a los que le piden?
Mateo 7:12	Así que, todas las cosas que queráis que los hombres hagan con vosotros, así también haced vosotros con ellos, porque esta es la ley y los profetas.
Mateo 7:13	Entrad por la puerta estrecha, porque ancha es la puerta y espacioso el camino que lleva a la perdición, y muchos son los que entran por ella.
Mateo 7:14	Porque estrecha es la puerta y angosto el camino que lleva a la vida, y pocos son los que la hallan.
Mateo 7:15	Y guardaos de los falsos profetas, que vienen a vosotros vestidos de ovejas, pero por dentro son lobos rapaces.
Mateo 7:16	Por sus frutos los conoceréis. ¿Se recogen uvas de los espinos o higos de los abrojos?
Mateo 7:17	Así, todo buen árbol da buenos frutos, mas el árbol malo da malos frutos.
Mateo 7:18	No puede el árbol bueno dar malos frutos, ni el árbol malo dar buenos frutos.
Mateo 7:19	Todo árbol que no da buen fruto es cortado y echado en el fuego.
