Genesis 1:1	Im Anfang schuf Gott den Himmel und die Erde;
Genesis 1:2	die Erde war aber eine Wüstenei und Öde, und Finsternis lag über der weiten Flut, und der Geist Gottes schwebte brütend über der Wasserfläche.
Genesis 1:3	Da sprach Gott: „Es werde Licht!“, und es ward Licht.
Genesis 1:4	Und Gott sah, dass das Licht gut war; da schied Gott das Licht von der Finsternis
Genesis 1:5	und nannte das Licht „Tag“, der Finsternis aber gab er den Namen „Nacht“. Und es wurde Abend und wurde Morgen: erster Tag.
Genesis 1:6	Dann sprach Gott: „Es entstehe ein festes Gewölbe inmitten der Wasser und bilde eine Scheidewand zwischen den beiderseitigen Wassern!“ Und es geschah so.
Genesis 1:7	So machte Gott das feste Gewölbe und schied dadurch die Wasser unterhalb des Gewölbes von den Wassern oberhalb des Gewölbes.
Genesis 1:8	Und Gott nannte das feste Gewölbe „Himmel“. Und es wurde Abend und wurde Morgen: zweiter Tag.
Genesis 1:9	Dann sprach Gott: „Es sammle sich das Wasser unterhalb des Himmels an einen besonderen Ort, damit das Trockene sichtbar wird!“ Und es geschah so.
Genesis 1:10	Und Gott nannte das Trockene „Erde“, dem Wasser aber, das sich gesammelt hatte, gab er den Namen „Meer“. Und Gott sah, dass es gut war.
Genesis 1:11	Dann sprach Gott: „Die Erde lasse junges Grün sprossen, samentragende Pflanzen und Bäume, die je nach ihrer Art Früchte mit Samen darin auf der Erde tragen!“ Und es geschah so:
Genesis 1:12	Die Erde ließ junges Grün hervorgehen, Kräuter, die je nach ihrer Art Samen trugen, und Bäume, die Früchte mit Samen darin je nach ihrer Art trugen. Und Gott sah, dass es gut war.
Genesis 1:13	Und es wurde Abend und wurde Morgen: dritter Tag.
Genesis 1:14	Dann sprach Gott: „Es sollen Lichter am Himmelsgewölbe entstehen, um Tag und Nacht voneinander zu scheiden; die sollen Merkzeichen sein und zur Bestimmung von Festzeiten sowie zur Zählung von Tagen und Jahren dienen;
Genesis 1:15	und sie sollen Lichter am Himmelsgewölbe sein, um Licht über die Erde zu verbreiten!“ Und es geschah so.
Genesis 1:16	Da machte Gott die beiden großen Lichter: das größere Licht zur Herrschaft über den Tag und das kleinere Licht zur Herrschaft über die Nacht, dazu auch die Sterne.
Genesis 1:17	Gott setzte sie dann an das Himmelsgewölbe, damit sie Licht über die Erde verbreiteten
Genesis 1:18	und am Tage und in der Nacht die Herrschaft führten und das Licht von der Finsternis schieden. Und Gott sah, dass es gut war.
Genesis 1:19	Und es wurde Abend und wurde Morgen: vierter Tag.
Genesis 1:20	Dann sprach Gott: „Es wimmle das Wasser von einem Gewimmel lebender Wesen, und Vögel sollen über der Erde am Himmelsgewölbe hinfliegen!“
Genesis 1:21	Da schuf Gott die großen Seetiere und alle Arten der kleinen Lebewesen, die da sich regen, von denen die Gewässer wimmeln, dazu alle Arten der geschwingten Vögel. Und Gott sah, dass es gut war.
Genesis 1:22	Da segnete Gott sie mit den Worten: „Seid fruchtbar und mehret euch und erfüllt das Wasser in den Meeren, und auch die Vögel sollen sich auf der Erde mehren!“
Genesis 1:23	Und es wurde Abend und wurde Morgen: fünfter Tag.
Genesis 1:24	Dann sprach Gott: „Die Erde bringe alle Arten lebender Wesen hervor, Vieh, Kriechgetier und wilde Landtiere, jedes nach seiner Art!“ Und es geschah so.
Genesis 1:25	Da machte Gott alle Arten der wilden Landtiere und alle Arten des Viehs und alles Getier, das auf dem Erdboden kriecht, jedes nach seiner Art. Und Gott sah, dass es gut war.
Genesis 1:26	Dann sprach Gott: „Lasst uns Menschen machen nach unserem Bilde, uns ähnlich, die da herrschen sollen über die Fische im Meer und über die Vögel des Himmels, über das zahme Vieh und über alle wilden Landtiere und über alles Gewürm, das auf dem Erdboden kriecht!“
Genesis 1:27	Da schuf Gott den Menschen nach seinem Bild: Nach dem Bilde Gottes schuf er ihn; als Mann und Frau schuf er sie.
Genesis 1:28	Gott segnete sie dann mit den Worten: „Seid fruchtbar und mehrt euch, füllt die Erde an und macht sie euch untertan und herrscht über die Fische im Meer und über die Vögel des Himmels und über alle Lebewesen, die auf der Erde sich regen!“
Genesis 1:29	Dann fuhr Gott fort: „Hiermit übergebe ich euch alle samentragenden Pflanzen auf der ganzen Erde und alle Bäume mit samentragenden Früchten: Die sollen euch zur Nahrung dienen!
Genesis 1:30	Aber allen Tieren der Erde und allen Vögeln des Himmels und allem, was auf der Erde kriecht, was Lebensodem in sich hat, weise ich alles grüne Kraut der Pflanzen zur Nahrung an.“ Und es geschah so.
Genesis 1:31	Und Gott sah alles an, was er geschaffen hatte, und siehe: Es war sehr gut. Und es wurde Abend und wurde Morgen: der sechste Tag.
Genesis 2:1	So waren der Himmel und die Erde mit ihrem ganzen Heer vollendet.
Genesis 2:2	Da brachte Gott am siebten Tage sein Werk, das er geschaffen hatte, zur Vollendung und ruhte am siebten Tage von all seiner Arbeit, die er vollbracht hatte.
Genesis 2:3	Und Gott segnete den siebten Tag und heiligte ihn; denn an ihm hat Gott von seinem ganzen Schöpfungswerk und seiner Arbeit geruht.
Genesis 2:4	a Dies ist die Entstehungsgeschichte des Himmels und der Erde, als sie geschaffen wurden.
Genesis 2:4	b Zur Zeit, als Gott der Herr Erde und Himmel schuf,
Genesis 2:5	als es auf der Erde noch keine Sträucher auf dem Felde gab und noch keine Pflanzen auf den Fluren gewachsen waren, weil Gott der Herr noch keinen Regen auf die Erde hatte fallen lassen und auch noch keine Menschen da waren, um den Ackerboden zu bestellen –
Genesis 2:6	es stieg aber ein Wasserdunst von der Erde auf und tränkte die ganze Oberfläche des Erdbodens –,
Genesis 2:7	da bildete Gott der Herr den Menschen aus Erde vom Ackerboden und blies ihm den Lebensodem in die Nase; so wurde der Mensch zu einem lebenden Wesen.
Genesis 2:8	Hierauf pflanzte Gott der Herr einen Garten in Eden nach Osten hin und versetzte dorthin den Menschen, den er gebildet hatte.
Genesis 2:9	Dann ließ Gott der Herr allerlei Bäume aus dem Erdboden hervorwachsen, die lieblich anzusehen waren und wohlschmeckende Früchte trugen, dazu auch den Baum des Lebens mitten im Garten und den Baum der Erkenntnis des Guten und des Bösen.
Genesis 2:10	Es entsprang aber ein Strom in Eden, um den Garten zu bewässern, und teilte sich von dort aus, und zwar in vier Arme.
Genesis 2:11	Der erste heißt Pischon: Dieser ist es, der das ganze Land Hawila umfließt, woselbst sich das Gold findet,
Genesis 2:12	und das Gold dieses Landes ist kostbar; dort kommt auch das Bedolachharz vor und der Edelstein Soham.
Genesis 2:13	Der zweite Strom heißt Gihon: Dieser ist es, der das ganze Land Kusch umfließt.
Genesis 2:14	Der dritte Strom heißt Hiddekel: Dieser ist es, der östlich von Assyrien fließt; und der vierte Strom ist der Eufrat.
Genesis 2:15	Als nun Gott der Herr den Menschen genommen und ihn in den Garten von Eden versetzt hatte, damit er ihn bestelle und behüte,
Genesis 2:16	gab Gott der Herr dem Menschen die Weisung: „Von allen Bäumen des Gartens darfst du nach Belieben essen,
Genesis 2:17	aber vom Baum der Erkenntnis des Guten und des Bösen – von dem darfst du nicht essen; denn sobald du von diesem isst, musst du des Todes sterben.“
Genesis 2:18	Hierauf sagte Gott der Herr: „Es ist nicht gut für den Menschen, dass er allein ist: Ich will ihm eine Hilfe schaffen, die zu ihm passt.“
Genesis 2:19	Da bildete Gott der Herr aus Erde alle Tiere des Feldes und alle Vögel des Himmels und brachte sie zu dem Menschen, um zu sehen, wie er sie benennen würde; und wie der Mensch sie alle benennen würde, so sollten sie heißen.
Genesis 2:20	So legte denn der Mensch allem Vieh und den Vögeln des Himmels und allen wilden Tieren Namen bei; aber für Adam fand er keine Hilfe darunter, die zu ihm gepasst hätte.
Genesis 2:21	Da ließ Gott der Herr einen tiefen Schlaf auf den Menschen fallen, sodass er einschlief; dann nahm er eine von seinen Rippen heraus und verschloss deren Stelle wieder mit Fleisch;
Genesis 2:22	die Rippe aber, die Gott aus dem Menschen genommen hatte, gestaltete er zu einer Frau und führte diese dem Menschen zu.
Genesis 2:23	Da rief der Mensch aus: „Diese endlich ist es: Gebein von meinem Gebein und Fleisch von meinem Fleisch! Diese soll ‚Männin‘ heißen; denn vom Mann ist diese genommen.“
Genesis 2:24	Darum verlässt ein Mann seinen Vater und seine Mutter und hängt seiner Frau an, und sie werden ein Fleisch sein.
Genesis 2:25	Und sie waren beide nackt, der Mensch und seine Frau, und doch schämten sie sich nicht voreinander.
Genesis 3:1	Nun war die Schlange listiger als alle Tiere des Feldes, die Gott der Herr geschaffen hatte; die sagte zur Frau: „Sollte Gott wirklich gesagt haben: ‚Ihr dürft von allen Bäumen des Gartens nicht essen?‘“
Genesis 3:2	Da antwortete die Frau der Schlange: „Von den Früchten der Bäume im Garten dürfen wir essen;
Genesis 3:3	nur von den Früchten des Baumes, der mitten im Garten steht, hat Gott gesagt: ‚Ihr dürft von ihnen nicht essen, ja, sie nicht einmal anrühren, sonst müsst ihr sterben!‘“
Genesis 3:4	Da erwiderte die Schlange der Frau: „Ihr werdet sicherlich nicht sterben;
Genesis 3:5	sondern Gott weiß wohl, dass, sobald ihr davon esst, euch die Augen aufgehen werden und ihr wie Gott selbst sein werdet, indem ihr erkennt, was gut und was böse ist.“
Genesis 3:6	Da nun die Frau sah, dass von dem Baume gut zu essen sei und dass er eine Lust für die Augen und ein begehrenswerter Baum sei, weil man durch ihn klug werden könne, so nahm sie eine von seinen Früchten und aß und gab auch ihrem Mann, der bei ihr war, und der aß auch.
Genesis 3:7	Da gingen ihnen beiden die Augen auf, und sie nahmen wahr, dass sie nackt waren; darum hefteten sie Blätter vom Feigenbaum zusammen und machten sich Schurze daraus.
Genesis 3:8	Als sie dann aber die Stimme Gottes des Herrn hörten, der in der Abendkühle im Garten sich erging, versteckten sie sich, der Mann und seine Frau, vor Gott dem Herrn unter den Bäumen des Gartens.
Genesis 3:9	Aber Gott der Herr rief nach dem Mann mit den Worten: „Wo bist du?“
Genesis 3:10	Da antwortete er: „Als ich deine Stimme im Garten hörte, fürchtete ich mich, weil ich nackt bin; darum habe ich mich versteckt.“
Genesis 3:11	Da fragte Gott: „Wer hat dir gesagt, dass du nackt bist? Du hast doch nicht etwa von dem Baume gegessen, von dem zu essen ich dir verboten habe?“
Genesis 3:12	Da antwortete Adam: „Die Frau, die du mir beigesellt hast, die hat mir von dem Baume gegeben, da habe ich gegessen.“
Genesis 3:13	Da sagte Gott der Herr zu der Frau: „Warum hast du das getan?“ Die Frau antwortete: „Die Schlange hat mich verführt; da habe ich gegessen.“
