Genesi 1:1	Nel principio Dio creò i cieli e la terra.
Genesi 1:2	E la terra era informe e vuota, e le tenebre coprivano la faccia dell’abisso, e lo spirito di Dio aleggiava sulla superficie delle acque. E Dio disse:
Genesi 1:3	“Sia la luce!”. E la luce fu.
Genesi 1:4	E Dio vide che la luce era buona; e Dio separò la luce dalle tenebre.
Genesi 1:5	E Dio chiamò la luce “giorno”, e le tenebre “notte”. Così fu sera, poi fu mattina: e fu il primo giorno.
Genesi 1:6	Poi Dio disse: “Ci sia una distesa tra le acque, che separi le acque dalle acque”.
Genesi 1:7	E Dio fece la distesa e separò le acque che erano sotto la distesa, dalle acque che erano sopra la distesa. E così fu.
Genesi 1:8	E Dio chiamò la distesa “cielo”. Così fu sera, poi fu mattina: e fu il secondo giorno.
Genesi 1:9	Poi Dio disse: “Le acque che sono sotto il cielo siano raccolte in un unico luogo, e appaia l’asciutto”. E così fu.
Genesi 1:10	E Dio chiamò l’asciutto “terra”, e chiamò la raccolta delle acque “mari”. E Dio vide che questo era buono.
Genesi 1:11	Poi Dio disse: “Produca la terra vegetazione, ed erbe che diano seme e alberi fruttiferi che, secondo la loro specie, portino del frutto avente in sé il proprio seme, sulla terra”. E così fu.
Genesi 1:12	E la terra produsse vegetazione, erbe che davano seme secondo la loro specie, e alberi che portavano del frutto avente in sé il proprio seme, secondo la loro specie. E Dio vide che questo era buono.
Genesi 1:13	Così fu sera, poi fu mattina: e fu il terzo giorno.
Genesi 1:14	Poi Dio disse: “Vi siano dei luminari nella distesa dei cieli per separare il giorno dalla notte; e siano dei segni per le stagioni e per i giorni e per gli anni;
Genesi 1:15	e servano da luminari nella distesa dei cieli per dar luce alla terra”. E così fu.
Genesi 1:16	E Dio fece i due grandi luminari: il luminare maggiore, per presiedere al giorno, e il luminare minore per presiedere alla notte; e fece pure le stelle.
Genesi 1:17	E Dio li mise nella distesa dei cieli per dar luce alla terra,
Genesi 1:18	per presiedere al giorno e alla notte e separare la luce dalle tenebre. E Dio vide che questo era buono.
Genesi 1:19	Così fu sera, poi fu mattina: e fu il quarto giorno.
