Gênesis 1:1	No princípio, Deus criou os céus e a terra.
Gênesis 1:2	E a terra era sem forma e vazia; e havia trevas sobre a face do abismo; e o Espírito de Deus se movia sobre a face das águas.
Gênesis 1:3	E disse Deus: Haja luz; e houve luz.
Gênesis 1:4	E viu Deus que era boa a luz; e fez Deus separação entre a luz e as trevas.
Gênesis 1:5	E Deus chamou à luz Dia; e às trevas chamou Noite. E foi a tarde e a manhã, o dia primeiro.
Gênesis 1:6	E disse Deus: Haja uma expansão no meio das águas, e haja separação entre águas e águas.
Gênesis 1:7	E fez Deus a expansão, e fez separação entre as águas que estavam debaixo da expansão e as águas que estavam sobre a expansão; e assim foi.
Gênesis 1:8	E chamou Deus à expansão Céus, e foi a tarde e a manhã, o dia segundo.
Gênesis 1:9	E disse Deus: Ajuntem-se as águas debaixo dos céus num lugar, e apareça a porção seca; e assim foi.
Gênesis 1:10	E chamou Deus à porção seca Terra; e ao ajuntamento das águas chamou Mares; e viu Deus que era bom.
Gênesis 1:11	Disse Deus: Produza a terra relva, erva que dê semente, árvore frutífera que dê fruto segundo a sua espécie, cuja semente esteja nela sobre a terra; e assim foi.
Gênesis 1:12	E a terra produziu relva, e erva dando semente conforme a sua espécie, e a árvore frutífera, cuja semente estava nela conforme a sua espécie; e viu Deus que era bom.
Gênesis 1:13	E foi a tarde e a manhã, o dia terceiro.
Gênesis 1:14	E disse Deus: Haja luminares na expansão dos céus, para haver separação entre o dia e a noite; e sejam eles para sinais, e para tempos determinados, e para dias e anos.
Gênesis 1:15	E sejam para luminares na expansão dos céus, para alumiar a terra; e assim foi.
Gênesis 1:16	E fez Deus os dois grandes luminares: o luminar maior para governar o dia, e o luminar menor para governar a noite; e as estrelas.
Gênesis 1:17	E Deus os pôs na expansão dos céus para alumiar a terra,
Gênesis 1:18	E para governar o dia e a noite, e para fazer separação entre a luz e as trevas; e viu Deus que era bom.
Gênesis 1:19	E foi a tarde e a manhã, o dia quarto.
Gênesis 1:20	E disse Deus: Produzam as águas abundantemente répteis de alma vivente; e voem as aves sobre a face da expansão dos céus.
Gênesis 1:21	E Deus criou as grandes baleias, e todo réptil de alma vivente que as águas abundantemente produziram, conforme as suas espécies; e toda ave de asas conforme a sua espécie; e viu Deus que era bom.
Gênesis 1:22	E Deus as abençoou, dizendo: Frutificai e multiplicai-vos, e enchei as águas nos mares; e as aves se multipliquem na terra.
Gênesis 1:23	E foi a tarde e a manhã, o dia quinto.
Gênesis 1:24	E disse Deus: Produza a terra criatura vivente conforme a sua espécie; gado, e répteis, e feras da terra conforme a sua espécie; e assim foi.
Gênesis 1:25	E fez Deus as feras da terra conforme a sua espécie, e o gado conforme a sua espécie, e todo réptil da terra conforme a sua espécie; e viu Deus que era bom.
Gênesis 1:26	E disse Deus: Façamos o homem à nossa imagem, conforme a nossa semelhança; e domine sobre os peixes do mar, e sobre as aves dos céus, e sobre o gado, e sobre toda a terra, e sobre todo réptil que se move sobre a terra.
Gênesis 1:27	E criou Deus o homem à sua imagem, à imagem de Deus o criou, macho e fêmea os criou.
Gênesis 1:28	E Deus os abençoou, e Deus lhes disse: Frutificai e multiplicai-vos, e enchei a terra, e sujeitai-a; e dominai sobre os peixes do mar, e sobre as aves dos céus, e sobre todo animal que se move sobre a terra.
Gênesis 1:29	E disse Deus: Eis que vos dei toda erva que dá semente, que está sobre a face de toda a terra, e toda árvore, em que há fruto de árvore que dá semente; ser-vos-á para mantimento.
Gênesis 1:30	E a todo animal da terra, e a toda ave dos céus, e a todo réptil sobre a terra, em que há alma vivente, eu dei toda erva verde para mantimento; e assim foi.
Gênesis 1:31	E viu Deus tudo quanto tinha feito, e eis que era muito bom; e foi a tarde e a manhã, o dia sexto.
Gênesis 2:1	Assim, os céus, e a terra, e todo o seu exército foram acabados.
Gênesis 2:2	E havendo Deus acabado no dia sétimo a sua obra, que tinha feito, descansou no sétimo dia de toda a sua obra, que tinha feito.
Gênesis 2:3	E abençoou Deus o dia sétimo, e o santificou, porque nele descansou de toda a sua obra, que Deus criara e fizera.
Gênesis 2:4	Estas são as origens dos céus e da terra, quando foram criados, no dia em que o Senhor Deus fez a terra e os céus;
Gênesis 2:5	E toda planta do campo que ainda não estava na terra, e toda erva do campo que ainda não brotava; porque o Senhor Deus não tinha feito chover sobre a terra, e não havia homem para lavrar a terra.
Gênesis 2:6	Um vapor, porém, subia da terra e regava toda a face da terra.
