Mosè 1:1	Parole di Dio, che egli disse a Mosè al tempo in cui Mosè fu rapito su una montagna altissima,
Mosè 1:2	E vide Dio faccia a faccia, e parlò con Lui, e la gloria di Dio fu su Mosè; perciò Mosè poté sostenere la sua presenza.
Mosè 1:3	E Dio parlò a Mosè, dicendo: Ecco, Io sono il Signore Dio Onnipotente, e Infinito è il mio nome; poiché sono senza principio di giorni o fine d’anni, e non è ciò infinito?
Mosè 1:4	Ed ecco, tu sei mio figlio; guarda dunque, e ti mostrerò le opere delle mie mani, ma non tutte, poiché le mie opere sono senza fine, e anche le mie parole, poiché non cessano mai.
Mosè 1:5	Pertanto nessun uomo può vedere tutte le mie opere, a meno che non veda tutta la mia gloria; e nessun uomo può vedere tutta la mia gloria e poi rimanere nella carne sulla terra.
Mosè 1:6	E ho un’opera per te, Mosè, figlio mio; e tu sei a similitudine del mio Unigenito; e il mio Unigenito è e sarà il Salvatore, poiché è pieno di grazia e di verità; ma non v’è altro Dio all’infuori di me, e tutte le cose sono presenti dinanzi a me, poiché Io le conosco tutte.
Mosè 1:7	Ed ora, ecco, questa cosa sola ti mostro, Mosè, figlio mio, poiché sei nel mondo, e ora io te lo mostro.
Mosè 1:8	E avvenne che Mosè guardò, e vide il mondo sul quale era stato creato; e Mosè vide il mondo e le sue estremità, e tutti i figlioli degli uomini che sono e che furono creati; e di ciò egli si meravigliò e si stupì grandemente.
Mosè 1:9	E la presenza di Dio si ritirò da Mosè, cosicché la Sua gloria non fu più su Mosè, e Mosè fu lasciato a se stesso. E quando fu lasciato a se stesso cadde a terra.
Mosè 1:10	E avvenne che ciò fu per lo spazio di molte ore, prima che Mosè ricevesse di nuovo le sue forze naturali, proprie dell’uomo; e disse a se stesso: Ora, per questa ragione, io so che l’uomo non è nulla, cosa che non avrei mai supposto.
Mosè 1:11	Ma ora i miei propri occhi hanno visto Dio; ma non quelli naturali, bensì i miei occhi spirituali, poiché i miei occhi naturali non avrebbero potuto vedere; poiché sarei avvizzito e sarei morto alla Sua presenza; ma la Sua gloria è stata su di me, e ho visto la Sua faccia, poiché sono stato trasfigurato dinanzi a Lui.
Mosè 1:12	E avvenne che quando Mosè ebbe detto queste parole, ecco, Satana venne a tentarlo, dicendo: Mosè, figlio d’uomo, adorami.
Mosè 1:13	E avvenne che Mosè guardò Satana e disse: Chi sei tu? Poiché ecco, io sono un figlio di Dio, a similitudine del suo Unigenito; e dov’è la tua gloria ch’io debba adorarti?
Mosè 1:14	Poiché ecco, non avrei potuto guardare Dio, a meno che la sua gloria non fosse venuta su di me, e non fossi trasfigurato dinanzi a lui. Ma posso guardare te da uomo naturale. Non è così, per certo?
Mosè 1:15	Benedetto sia il nome del mio Dio, poiché il Suo Spirito non si è del tutto ritirato da me, o altrimenti, dov’è la tua gloria, poiché per me è tenebra? E io posso giudicare fra te e Dio; poiché Dio mi ha detto: Adora Dio, poiché Lui solo devi servire.
Mosè 1:16	Vattene, Satana; non ingannarmi; poiché Dio mi ha detto: Tu sei a similitudine del mio Unigenito.
Mosè 1:17	E mi diede anche dei comandamenti, quando mi chiamò dal pruno ardente, dicendo: Invoca Dio nel nome del mio Unigenito, e adorami.
Mosè 1:18	E Mosè disse ancora: Non cesserò di invocare Dio, ho altre cose da chiedergli; poiché la sua gloria è stata su di me, pertanto posso giudicare fra lui e te. Vattene, Satana.
Mosè 1:19	Ed ora, quando Mosè ebbe detto queste parole, Satana gridò ad alta voce e inveì verso terra e comandò, dicendo: Io sono l’Unigenito, adorami.
Mosè 1:20	E avvenne che Mosè cominciò a temere grandemente; e mentre cominciava a temere, vide l’amarezza dell’inferno. Nondimeno, invocando Dio egli ricevette forza, e comandò, dicendo: Vattene da me, Satana, quest’unico Dio soltanto adorerò, che è il Dio di gloria.
Mosè 1:21	Ed ora, Satana cominciò a tremare, e la terra fu scossa; e Mosè ricevette forza e invocò Dio, dicendo: Nel nome dell’Unigenito, vattene, Satana.
Mosè 1:22	E avvenne che Satana gridò ad alta voce, con pianti, e lamenti e stridor di denti; e se ne andò dalla presenza di Mosè, cosicché egli non lo vide più.
Mosè 1:23	Ed ora, di queste cose Mosè rese testimonianza; ma a causa della malvagità essa non è venuta in possesso dei figlioli degli uomini.
Mosè 1:24	E avvenne, quando Satana se ne fu andato dalla presenza di Mosè, che Mosè alzò gli occhi al cielo, ed era pieno dello Spirito Santo, che porta testimonianza del Padre e del Figlio;
Mosè 1:25	E invocando il nome di Dio, egli vide di nuovo la sua gloria, poiché essa era su di lui; e udì una voce che diceva: Benedetto sei tu, Mosè, poiché Io, l’Onnipotente, ti ho scelto, e sarai reso più forte di molte acque, poiché esse obbediranno al tuo comando come se tu fossi Dio.
Mosè 1:26	Ed ecco, io sono con te, sì, fino alla fine dei tuoi giorni; poiché tu libererai il mio popolo dalla schiavitù, sì, Israele, il mio scelto.
Mosè 1:27	E avvenne, mentre la voce stava ancora parlando, che Mosè gettò lo sguardo e vide la terra, sì, proprio tutta; e non vi fu una particella d’essa che egli non vedesse, discernendola mediante lo Spirito di Dio.
Mosè 1:28	E ne vide anche gli abitanti, e non vi fu un’anima che non vedesse; e poté discernerli mediante lo Spirito di Dio; e il loro numero era grande, sì, innumerevole come la sabbia sulla riva del mare.
Mosè 1:29	E vide molti paesi; e ogni paese era chiamato terra, e vi erano abitanti sulla faccia d’essa.
Mosè 1:30	E avvenne che Mosè invocò Dio, dicendo: Dimmi, Ti prego, perché queste cose sono così, e con cosa le hai fatte?
Mosè 1:31	Ed ecco, la gloria del Signore fu su Mosè, cosicché Mosè stette alla presenza di Dio e parlò con lui faccia a faccia. E il Signore Iddio disse a Mosè: Per un mio proprio scopo ho fatto queste cose; esso rimane in me e qui sta la saggezza.
Mosè 1:32	E mediante la parola del mio potere le ho create, che è il mio Figlio Unigenito, che è pieno di grazia e di verità.
Mosè 1:33	E mondi innumerevoli ho creato; e anch’essi ho creato per un mio proprio scopo; e mediante il Figlio li ho creati, che è il mio Unigenito.
Mosè 1:34	E il primo uomo fra tutti gli uomini l’ho chiamato Adamo, che è molti.
Mosè 1:35	Ma soltanto un resoconto di questa terra e dei suoi abitanti io ti do. Poiché ecco, vi sono molti mondi che sono già passati mediante la parola del mio potere. E ve ne sono molti che esistono ora, e sono innumerevoli per l’uomo; ma tutte le cose per me sono contate, poiché sono mie e io le conosco.
Mosè 1:36	E avvenne che Mosè parlò al Signore, dicendo: Sii misericordioso con il tuo servitore, o Dio, e parlami riguardo a questa terra e ai suoi abitanti, e anche ai cieli, e allora il tuo servitore sarà contento.
Mosè 1:37	E il Signore Iddio parlò a Mosè, dicendo: I cieli sono molti e non possono essere contati dall’uomo; ma sono contati per me, poiché sono miei.
Mosè 1:38	E quando una terra passerà, con i suoi cieli, così pure ne verrà un’altra; e non v’è fine alle mie opere, né alle mie parole.
Mosè 1:39	Poiché ecco, questa è la mia opera e la mia gloria: fare avverare l’immortalità e la vita eterna dell’uomo.
